CatalogNumber,Individual_ID,Fish_Species,Year_Fish_Collected,month_fish_collected,day_fish_collected,Fish_Barcode,Dissector,Dissection_Date,Completion_Date,Total_Length_mm,Standard_Length_mm,Weight_mg,Examiner,Sex,Gut_Contents,Notes,SKIN,MUSCLE,BUCCAL_CAVITY,BODY_CAVITY,MONO.GYRO.PECTORALFIN,TREM.FIM.PECTORALFIN,COPE.LERN.PELVICFIN,MONO.GYRO.PELVICFIN,COPE.IMLER.ANALFIN,COPE.LERN.ANALFIN,MONO.GYRO.ANALFIN,TREM.FIM.CAUDALFIN,TREM.META.UNK.CAUDALFIN,MONO.GYRO.CAUDALFIN,CYST.UNK.CAUDALFIN,MONO.GYRO.DORSALFIN,GONAD,TREM.DIPLO.LIVER,TREM.D.LIVER,TREM.GOLD.LIVER,KIDNEY,TREM.DIPLO.EYE,TREM.EM.EYE,HEART,STOMACH,TREM.D.CONN,TREM.DIPLO.CONN,TREM.L.CONN,TREM.B.CONN,TREM.GOLD.CONN,TREM.UNK.CONN,NEM.CL.INT,NEMA.UNK.INT,MYXO.SUSP.GILL,CYST.UNK.GILL,MONO.DACT.GILL,MONO.GYRO.GILL,MONO.UNK.GILL,MYXO.B.GILL,META.UNK.GILL,GALL_BLADDER,MONO.GYRO.FLUSH,TREM.DLUM.FLUSH,TREM.META.UNK.FLUSH,TREM.B.FLUSH,TREM.D.FLUSH,TREM.DIPLO.FLUSH,TREM.UNK.FLUSH,TREM.L.FLUSH,TREM.RIDGE.FLUSH,COPE.LERN.FLUSH,Notes_details_about_parasites_missing,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1_label:MSB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P1 Box Number,P1 Notes,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P2 Box Number,P2 Notes,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3_Label:fishID,P3_label:Parasites_Code,P3 Box Number,P3 Notes,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,P4_Life_Stage,P4_Organ,P4_How_preserved,P4_barcode,P4_Label:fishID,P4_label:Parasites_Code,P4 Box_number,P4 Notes,P5_Species,P5_Number_of_individuals,P5_collector,P5_identifier,P5_Life_Stage,P5_Organ,P5_How_preserved,P5_barcode,P5_Label:fishID,P5_label:Parasites_Code,P5 Box Number,P5 Notes
MSB:Fish:19537,MSB 19537-5,Hybognathus amarus,1994,9,16,JAR8637F,EO,06-16-2025,,47,38,760,CW,NA,Empty,"All intestines clear/see through, eye dried out (stuck on lid)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,,MSB 19537-5,Hybognathus amarus,JAR8637F,Diplostomatidae,2,CW,CW,NA,Connective tissue,70% etoh,P6JXM,MSB 19537-5,TREM.DIPLO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:25010,MSB 25010-5,Hybognathus amarus,1995,8,2,JAR8651F,EO,06-16-2025,,38,30,494,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,MSB 25010-5,Hybognathus amarus,JAR8651F,Digenea,5,KL,KL,NA,Flush,70% etoh,P6JXL,MSB 25010-5,TREM.D ,1,,Gyrodactylidae,1,KL,KL,Adult,Gill,70% etoh,P6JXN,MSB 25010-5,MONO.GYRO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1129,MSB 1129-5,Hybognathus amarus,1959,2,20,JAR8672F,JG,06-20-2025,,40,32,383,CW,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:49970,MSB 49970-1,Hybognathus amarus,1994,5,5,JAR8641F,EO,06-20-2025,,66,52,2386,CLW,NA,NA,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 49970-1,Hybognathus amarus,JAR8641F,Gyrodactylidae,1,CLW,CLW,ADULT,Anal fin,70% etoh,P6JWE,MSB 49970-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:49970,MSB 49970-4,Hybognathus amarus,1994,5,5,JAR8648F,JG,06-20-2025,,65,53,2749,KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1129,MSB 1129-4,Hybognathus amarus,1959,2,20,JAR8671F,EO,06-20-2025,,41,31,580,JG KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:49970,MSB 49970-5,Hybognathus amarus,1994,5,5,JAR8646F,EO,06-20-2025,,64,51,2231,EO KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,,MSB 49970-5,Hybognathus amarus,JAR8646F,Digenea,1,KL,KL,NA,Flush,70% etoh,P6JYQ,MSB 49970-5,TREM.D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:20526,MSB 20526-2,Hybognathus amarus,1994,7,27,JAR8665F,BP,06-20-2025,,37,29,507,CW,NA,NA,Caudal fin damaged,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,,MSB 20526-2,Hybognathus amarus,JAR8665F,Diplostomatidae,2,CW,CW,Metacercariae,Connective tissue,70% etoh,P6JWG,MSB 20526-2,TREM.DIPLO.CONN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1129,MSB 1129-1,Hybognathus amarus,1959,2,20,JAR8668F,JG,06-20-2025,,41,33,519,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1129,MSB 1129-3,Hybognathus amarus,1959,2,20,JAR8673F,JG,06-20-2025,,43,36,659,CW,NA,NA,"1st parasite lost, 2nd broken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 1129-3,Hybognathus amarus,JAR8673F,Dactylogyrus,2,CW,CW,Adult,Gill,70% etoh ,P6JXJ,MSB 1129-3,MONO.DACT.GILL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
