"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"63",114,"MSB","Fish specimens","MSB:Fish:5811",75,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1987,9,9,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 04:46:03.0","control","1981-1990","control_1981-1990",5
"76",109,"MSB","Fish specimens","MSB:Fish:9011",14,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28086111,-106.5988056,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Corrales Waterway Canal, ca. 0.7 mi. south of NM State Route 528/46 intersection, Corrales.",NA,"",1990,10,28,"Collector(s): Steven P. Platania, Brooks M. Burr","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-E; Storage: 70% EtOH, 212-E;","2019-05-27 04:34:29.0","control","1981-1990","control_1981-1990",5
"128",171,"MSB","Fish specimens","MSB:Fish:12531",76,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.380486,-106.502059,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Albuquerque Main Canal, ca. 300 meters downstream of Angostura Diversion Dam, Algodones.",NA,"",1992,11,13,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Rio Grande Irrigation Canal Study","2019-05-27 02:36:17.0","control","1991-2000","control_1991-2000",5
"184",128,"MSB","Fish specimens","MSB:Fish:30771",74,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.38033333,-106.4990556,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Angostura Diversion Dam, Algodones.",NA,".5 meters",1996,10,30,"Collector(s): Robert K. Dudley, Christopher S. Altenbach, James P. Larson","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Robert K. Dudley, Christopher S. Altenbach, James P. Larson","2019-05-27 02:17:52.0","control","1991-2000","control_1991-2000",5
"202",211,"MSB","Fish specimens","MSB:Fish:43370",19,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,".7 meters",1999,8,25,"Collector(s): Robert K. Dudley, Joshua R. Walters, Michael A. Farrington","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Robert K. Dudley, Joshua R. Walters, Michael A. Farrington; FISH CONGREGATING IN WARM WATER, LOW VELOCITY AREAS","2019-05-27 05:11:53.0","control","1991-2000","control_1991-2000",5
"147",149,"MSB","Fish specimens","MSB:Fish:18799",29,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.280904,-106.597587,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at the Corrales siphon, at the Corrales-Rio Rancho municipal limits, Corrales.",NA,"",1993,8,12,"Collector(s): Christopher S. Altenbach, Steven P. Platania","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Christopher S. Altenbach, Steven P. Platania; 19 SEINE HAULS, 9 LARVAL HAULS","2019-05-27 02:58:19.0","control","1991-2000","control_1991-2000",5
"190",36,"MSB","Fish specimens","MSB:Fish:38942",41,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1997,7,5,"Collector(s): Steven P. Platania, Christopher S. Altenbach, Stephen R. Davenport","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, Stephen R. Davenport","2019-05-27 04:45:45.0","control","1991-2000","control_1991-2000",5
"218",169,"MSB","Fish specimens","MSB:Fish:62355",12,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28373,-106.59878,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 (formerly NM State HWY 44) bridge crossing, at Rio Rancho Wastewater Treatment Plant, Rio Rancho.",NA,".5 meters-1 meter",2000,9,14,"Collector(s): Thomas F. Turner","not recorded",NA,"PreservedSpecimen","Kind_Type: Vial Jar; Calcfld: 212-B2; Storage: 70% EtOH, 212-B2;","2019-05-27 03:11:39.0","control","1991-2000","control_1991-2000",5
"115",67,"MSB","Fish specimens","MSB:Fish:10898",41,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.211277,-106.611666,210,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"North Diversion Canal, at confluence with Rio Grande, ca. 3.3 kilometers upstream of Alameda Boulevard or NM State HWY 528 bridge, Sandia Pueblo, Albuquerque.",NA,"",1992,7,9,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-F; Storage: 70% EtOH, 212-F;","2019-05-27 04:29:42.0","control","1991-2000","control_1991-2000",5
"191",115,"MSB","Fish specimens","MSB:Fish:39100",29,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1997,10,15,"Collector(s): Robert K. Dudley, W. H. Brandenburg, James P. Larson","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Robert K. Dudley, W. Howard Brandenburg, James P. Larson; HIGH FLOWS PREVENTED RIVER CROSSING","2019-05-27 04:46:58.0","control","1991-2000","control_1991-2000",5
