"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"41","MSB:Fish:19595",1994,10,10,"MSB 19595-5","JAR11077F","KL","KL","08-11-2025",NA,62,51,2003,"impact","impact_1991-2000",34.85683333,-106.7208056,"trem.meta",0
"42","MSB:Fish:19661",1994,10,10,"MSB 19661-3","JAR11004F","KL","KL","08-05-2025",NA,50,40,1112,"impact","impact_1991-2000",34.905272,-106.685564,"trem.meta",0
"43","MSB:Fish:19661",1994,10,10,"MSB 19661-1","JAR10999F","KL","KL","08-05-2025","F",47,38,882,"impact","impact_1991-2000",34.905272,-106.685564,"trem.meta",0
"44","MSB:Fish:19661",1994,10,10,"MSB 19661-4","JAR11001F","KL","KL","08-05-2025",NA,53,43,1364,"impact","impact_1991-2000",34.905272,-106.685564,"trem.meta",0
"45","MSB:Fish:19661",1994,10,10,"MSB 19661-2","JAR11008F","KL","KL","08-05-2025",NA,48,39,NA,"impact","impact_1991-2000",34.905272,-106.685564,"trem.meta",0
"46","MSB:Fish:19661",1994,10,10,"MSB 19661-5","JAR11007F","KL","KL","08-05-2025",NA,46,37,756,"impact","impact_1991-2000",34.905272,-106.685564,"trem.meta",0
"47","MSB:Fish:20397",1994,8,11,"MSB 20397-1","JAR10961F","KL","KL","08-11-2025",NA,40,33,604,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"48","MSB:Fish:20397",1994,8,11,"MSB 20397-2","JAR11081F","KL","KL","08-11-2025",NA,42,34,686,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"49","MSB:Fish:20397",1994,8,11,"MSB 20397-5","JAR11072F","KL","KL","08-11-2025",NA,49,41,1179,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"50","MSB:Fish:20397",1994,8,11,"MSB 20397-4","JAR11075F","KL","KL","08-11-2025",NA,37,31,441,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"51","MSB:Fish:20397",1994,8,11,"MSB 20397-3","JAR11078F","KL","KL","08-11-2025",NA,51,42,1333,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"52","MSB:Fish:3996",1977,9,28,"MSB 3996-5","JAR11846F","EO","BP","08-12-2025",NA,40,33,498,"impact","impact_1971-1980",35.136341,-106.685742,"trem.meta",0
