"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","trem.meta","crus.lercyp","trem.diphur","trem.n","mono.gyrsp","mono.unk","trem.white","trem.p","trem.neasp","trem.unk","trem.acet","trem.unclear","cest.larv","nem.cont","trem.cent","nem.cap","cest.b","trem.buc","nem.unk","nem.larv","myxo.myxsp","myxo.m","mono.dacsp"
"47","MSB:Fish:20397",1994,8,11,"MSB 20397-1","JAR10961F","KL","KL","08-11-2025",NA,40,33,604,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","MSB:Fish:20397",1994,8,11,"MSB 20397-2","JAR11081F","KL","KL","08-11-2025",NA,42,34,686,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","MSB:Fish:20397",1994,8,11,"MSB 20397-5","JAR11072F","KL","KL","08-11-2025",NA,49,41,1179,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","MSB:Fish:20397",1994,8,11,"MSB 20397-4","JAR11075F","KL","KL","08-11-2025",NA,37,31,441,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"51","MSB:Fish:20397",1994,8,11,"MSB 20397-3","JAR11078F","KL","KL","08-11-2025",NA,51,42,1333,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"52","MSB:Fish:3996",1977,9,28,"MSB 3996-5","JAR11846F","EO","BP","08-12-2025",NA,40,33,498,"impact","impact_1971-1980",35.136341,-106.685742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"53","MSB:Fish:3996",1977,9,28,"MSB 3996-4","JAR11847F","BP","CW","08-12-2025",NA,38,31,519,"impact","impact_1971-1980",35.136341,-106.685742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,2
"54","MSB:Fish:3996",1977,9,28,"MSB 3996-3","JAR11855F","EO","CW","08-12-2025",NA,39,32,538,"impact","impact_1971-1980",35.136341,-106.685742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","MSB:Fish:3996",1977,9,28,"MSB 3996-2","JAR11849F","BP","CW","08-12-2025",NA,37,31,524,"impact","impact_1971-1980",35.136341,-106.685742,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","MSB:Fish:3996",1977,9,28,"MSB 3996-1","JAR11852F","EO","JG","08-12-2025",NA,44,35,765,"impact","impact_1971-1980",35.136341,-106.685742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"57","MSB:Fish:4031",1977,9,30,"MSB 4031-4","JAR11703F","EO","GC","07-29-2025",NA,40,32,550,"impact","impact_1971-1980",34.859396,-106.720148,0,0,6,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"58","MSB:Fish:4031",1977,9,30,"MSB 4031-5","JAR11707F","BP","JG","07-29-2025",NA,40,31,494,"impact","impact_1971-1980",34.859396,-106.720148,0,0,3,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"59","MSB:Fish:4031",1977,9,30,"MSB 4031-1","JAR11705F","EO","GC","07-29-2025",NA,39,31,531,"impact","impact_1971-1980",34.859396,-106.720148,0,0,22,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"60","MSB:Fish:4031",1977,9,30,"MSB 4031-2","JAR11706F","EO","GC","07-29-2025",NA,42,34,617,"impact","impact_1971-1980",34.859396,-106.720148,0,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0
"61","MSB:Fish:4031",1977,9,30,"MSB 4031-3","JAR11704F","BP","BP","07-29-2025",NA,46,37,987,"impact","impact_1971-1980",34.859396,-106.720148,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"62","MSB:Fish:4045",1977,5,12,"MSB 4045-4","JAR11639F","BP","GC","07-21-2025","F",49,39,1916,"impact","impact_1971-1980",34.864295,-106.72527,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"63","MSB:Fish:4045",1977,5,12,"MSB 4045-5","JAR11630F","EO","JG","07-21-2025","F",49,41,1667,"impact","impact_1971-1980",34.864295,-106.72527,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"64","MSB:Fish:4045",1977,5,12,"MSB 4045-3","JAR11636F","EO","BP","07-21-2025",NA,46,36,1210,"impact","impact_1971-1980",34.864295,-106.72527,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0
"65","MSB:Fish:4045",1977,5,12,"MSB 4045-2","JAR11633F","BP","JG","07-21-2025",NA,49,39,1415,"impact","impact_1971-1980",34.864295,-106.72527,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,7,0,2
"66","MSB:Fish:4045",1977,5,12,"MSB 4045-1","JAR11631F","EO","GC","07-21-2025","F",53,44,2208,"impact","impact_1971-1980",34.864295,-106.72527,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,2
"67","MSB:Fish:4075",1977,6,9,"MSB 4075-5","JAR11748F","EO","JG","07-31-2025","F",47,39,1239,"impact","impact_1971-1980",34.848054,-106.716649,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,0,0,0,NA,0,0,6
"68","MSB:Fish:4075",1977,6,9,"MSB 4075-4","JAR11723F","JG","JG","07-31-2025","F",46,38,1077,"impact","impact_1971-1980",34.848054,-106.716649,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"69","MSB:Fish:4075",1977,6,9,"MSB 4075-1","JAR11721F","EO","GC","07-31-2025",NA,50,41,1450,"impact","impact_1971-1980",34.848054,-106.716649,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"70","MSB:Fish:4075",1977,6,9,"MSB 4075-3","JAR11724F","EO","JG","07-31-2025","F",45,36,978,"impact","impact_1971-1980",34.848054,-106.716649,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,2
"71","MSB:Fish:4075",1977,6,9,"MSB 4075-2","JAR11720F","JG","GC","07-31-2025",NA,52,43,1701,"impact","impact_1971-1980",34.848054,-106.716649,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"72","MSB:Fish:4101",1977,5,12,"MSB 4101-1","JAR11747F","EO","EO","07-31-2025",NA,51,43,1591,"impact","impact_1971-1980",34.857048,-106.719821,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"73","MSB:Fish:4101",1977,5,12,"MSB 4101-5","JAR11739F","EO","GC","07-31-2025",NA,42,43,757,"impact","impact_1971-1980",34.857048,-106.719821,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,19,0,0
"74","MSB:Fish:4101",1977,5,12,"MSB 4101-3","JAR11745F","EO","EO","07-31-2025","F",43,35,804,"impact","impact_1971-1980",34.857048,-106.719821,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4
"75","MSB:Fish:4101",1977,5,12,"MSB 4101-2","JAR11744F","JG","GC","07-31-2025",NA,43,35,1041,"impact","impact_1971-1980",34.857048,-106.719821,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"76","MSB:Fish:4101",1977,5,12,"MSB 4101-4","JAR11742F","JG","CLW GC","07-31-2025",NA,45,36,967,"impact","impact_1971-1980",34.857048,-106.719821,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
