Year,Bonaparte's Gull,Herring Gull,Ring-billed Gull,Green Heron,Black-crowned Night Heron,Osprey,Ferruginous Hawk,Northern Goshawk,Common Loon,Rough-legged Hawk,Swainson's Hawk,Tundra Swan,Turkey Vulture,Spotted Sandpiper,Western sandpiper,Number/Party Hours,Sum of Number/Party Hours
1984,0.0012,0.0048,1.4945,0,0.0799,0.0036,0.0339,0.0085,0.0048,0.0206,0,0,0,0.0157,0,1.6675,1.6675
1985,0.0025,0.0279,2.0736,0.0025,0.0622,0,0.0355,0.0089,0.0051,0.0203,0,0,0,0.0127,0.0089,2.2601,2.2601
1986,0.0717,0.0114,1.6653,0.0011,0.1047,0.0023,0.033,0.0057,0.0023,0.008,0,0,0.0011,0.0102,0.0011,1.9179,1.9179
1987,0.0244,0.0141,2.3318,0.0026,0.0681,0.0026,0.027,0.0051,0.0064,0.0308,0,0.0013,0.0026,0.0347,0.0051,2.5566,2.5566
1988,0.1906,0.0063,2.794,0,0.0938,0.001,0.0313,0.0031,0.0021,0.0115,0,0.0021,0,0.0354,0.0052,3.1764,3.1764
1989,0.0098,0.0519,3.094,0.002,0.0744,0.001,0.047,0.0049,0.0078,0.0186,0,0.0078,0,0.0372,0.0225,3.3789,3.3789
1990,0.0207,0.0145,4.2295,0.0021,0.0372,0,0.0289,0.001,0.0103,0.0124,0,0.0041,0,0.0207,0.0207,4.4021,4.4021
1991,0.0129,0.0032,2.0968,0,0.0592,0,0.0656,0.0043,0.0075,0.0215,0,0,0,0.0226,0.0194,2.313,2.313
1992,0.0057,0.0352,2.236,0.0011,0.0613,0.0011,0.0635,0.0034,0.0091,0.0261,0,0,0,0.0227,0.0068,2.472,2.472
1993,0.0137,0.0098,2.8318,0.0029,0.0893,0.001,0.0363,0.0049,0.0039,0.0147,0,0,0,0.0108,0.0098,3.0289,3.0289
1994,0.0204,0.0068,3.8504,0,0.1078,0,0.0253,0.0029,0.0039,0.0039,0.001,0,0,0.0204,0.0029,4.0457,4.0457
1995,0.0323,0.0043,3.1021,0.0022,0.1035,0,0.0162,0.0011,0.0032,0.0054,0,0,0.0011,0.0172,0.0043,3.2929,3.2929
1996,0.0377,0.0135,8.1276,0.0027,0.035,0,0.0216,0.0009,0.0081,0.0018,0,0.0009,0,0.018,0.0063,8.2741,8.2741
1997,0.0167,0.0028,3.8266,0.0009,0.051,0,0.0232,0.0056,0.0074,0.0083,0,0,0.0009,0.0148,0.0019,3.9601,3.9601
1998,0.1001,0.0138,3.0799,0.0041,0.057,0,0.0423,0.0016,0.0024,0.009,0,0,0,0.013,0.061,3.3842,3.3842
1999,0.0426,0.0045,1.96,0.0007,0.0202,0,0.0247,0.003,0.0135,0.0105,0,0.0015,0,0.0179,0.0561,2.1552,2.1552
2000,0.0398,0.0068,3.1391,0.0007,0.0218,0,0.039,0.0038,0.0053,0.0203,0,0.006,0,0.0263,0.0068,3.3157,3.3157
2001,0.0142,0.0064,1.9621,0,0.0659,0,0.0383,0,0.005,0.0135,0,0.0085,0,0.0142,0.0156,2.1437,2.1437
2002,0.0298,0.0047,2.7097,0,0.021,0.0014,0.023,0.0027,0.002,0.0081,0,0,0.002,0.0189,0.002,2.8253,2.8253
2003,0.1671,0.0026,2.3762,0,0.0294,0,0.0255,0,0.0013,0.0117,0,0.0052,0.0046,0.0209,0.0222,2.6667,2.6667
2004,0.0102,0.002,2.2508,0.0027,0.0389,0,0.0348,0,0.0109,0.0109,0,0.0007,0.0014,0.0191,0.0034,2.3858,2.3858
2005,0.026,0.0104,4.9414,0.0023,0.0185,0,0.0243,0.0017,0.0116,0.0052,0,0.0081,0,0.0139,0.0133,5.0767,5.0767
2006,0.0143,0.0036,2.899,0.0014,0.0258,0.0014,0.033,0.0029,0,0.0122,0,0,0.0014,0.0201,0.0036,3.0187,3.0187
2007,0.0285,0.0121,4.1954,0,0.0419,0.0013,0.0336,0.0032,0.0019,0.0044,0,0.0013,0.0019,0.0266,0,4.3521,4.3521
2008,0.0221,0.0147,4.837,0,0.0491,0.0016,0.0254,0,0,0.0049,0,0.0016,0.018,0.0188,0,4.9932,4.9932
2009,0.0428,0.0073,7.5717,0,0.0443,0.0015,0.0167,0.0007,0.0022,0.0065,0,0.008,0.0283,0.0385,0,7.7685,7.7685
2010,0.0143,0.0023,4.6489,0.0023,0.0233,0.0015,0.0271,0,0.0008,0.0008,0,0.003,0.003,0.0263,0,4.7536,4.7536
2011,0.0015,0.0054,4.8785,0.0015,0.0401,0,0.0301,0.0008,0.0023,0.0046,0,0.0008,0.0069,0.0039,0,4.9764,4.9764
2012,0.0076,0.0015,3,0,0.06,0.0023,0.0312,0,0.0008,0.0061,0,0,0.0182,0.0084,0.0155,3.2259,3.2259
2013,0.012,0.0141,6.9491,0,0.0177,0,0.0367,0.0021,0.0007,0.0071,0,0.0014,0.0106,0.0162,0.0008,7.0685,7.0685
2014,0.0113,0.0038,3.1159,0.0015,0.0386,0.0015,0.0393,0.0023,0.0008,0.0015,0,0.0015,0.0068,0.0242,0,3.249,3.249
2015,0.091,0.0048,4.914,0,0.0274,0.0008,0.0193,0.0008,0.0008,0.0008,0,0,0.0008,0.0226,0,5.0831,5.0831
2016,0.0351,0.007,4.9572,0,0.0258,0.0023,0.032,0,0.0016,0.0016,0,0.014,0.0008,0.018,0,5.0954,5.0954
2017,0.0318,0.0034,3.7289,0.0007,0.0264,0.0014,0.0311,0.0007,0.0007,0.002,0,0,0.0054,0.0149,0,3.8474,3.8474
2018,0.0033,0.0053,6.5815,0,0.0153,0.0007,0.0333,0.0007,0,0.0013,0,0.002,0.0113,0.0127,0,6.6674,6.6674
2019,0.0007,0.0041,7.5075,0.0007,0.0152,0.0041,0.0373,0,0,0.0014,0,0.0007,0.0138,0.0131,0,7.5986,7.5986
2020,0.0124,0.1407,5.6158,0,0,0.0031,0.0178,0.0008,0.0008,0.0023,0,0,0.0023,0.0201,0,5.8161,5.8161
2021,0.0796,0.0023,3.4552,0,0,0.0008,0.0184,0.0015,0.0023,0.0115,0.0015,0.0008,0.0329,0.0191,0,3.6259,3.6259
2022,0.0117,0.1099,6.4229,0,0,0.0022,0.0262,0,0.0044,0.0029,0.0022,0.0007,0.0306,0.0197,0,6.6334,6.6334
2023,0.008,0.0145,6.39,0,0,0.0007,0.0181,0.0007,0.0036,0.0014,0,0,0.0138,0.0551,0,6.5059,6.5059
