"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","cope.imler","cope.lern","mono.dact","mono.gyro","myxo.b","nem.cl","nem.unk","trem.b","trem.d","trem.diplo","trem.dlum","trem.em","trem.fim","trem.gold","trem.l","trem.meta.unk","trem.ridge"
"36","MSB:Fish:1155",1943,6,23,"MSB 1155-3","JAR8685F","BP","CW","06-23-2025",NA,69,56,3145,"control","control_1941-1950",35.322418,-106.557971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","MSB:Fish:1155",1943,6,23,"MSB 1155-4","JAR8683F","EO","BP KL","06-23-2025",FALSE,54,45,1684,"control","control_1941-1950",35.322418,-106.557971,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0
"38","MSB:Fish:1155",1943,6,23,"MSB1155-1","JAR8679F","BP","BP CW KL","06-23-2025",NA,62,50,2170,"control","control_1941-1950",35.322418,-106.557971,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"39","MSB:Fish:1155",1943,6,23,"MSB 1155-5","JAR8687F","EO","KL","06-23-2025",NA,53,45,1706,"control","control_1941-1950",35.322418,-106.557971,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0
"40","MSB:Fish:1155",1943,6,23,"MSB 1155-2","JAR8681F","EO","KL","06-23-2025",NA,63,50,2536,"control","control_1941-1950",35.322418,-106.557971,0,0,32,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0
"41","MSB:Fish:1160",1939,1,28,"MSB 1160-3","JAR8784F","JG","CW","07-01-2025",NA,51,42,1253,"impact","impact_1931-1940",35.100259,-106.692107,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"42","MSB:Fish:1160",1939,1,28,"MSB 1160-2","JAR8779","JG","EO GC","07-01-2025",NA,48,38,800,"impact","impact_1931-1940",35.100259,-106.692107,0,0,6,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"43","MSB:Fish:1160",1939,1,28,"MSB 1160-1","JAR8781F","JG","GC","07-01-2025",NA,51,43,1112,"impact","impact_1931-1940",35.100259,-106.692107,0,0,2,0,0,0,0,0,0,93,0,0,0,0,0,0,0
"44","MSB:Fish:1160",1939,1,28,"MSB 1160-4","JAR8780F","JG","GC","07-01-2025",FALSE,50,41,1020,"impact","impact_1931-1940",35.100259,-106.692107,0,0,0,0,6,0,0,0,0,44,0,0,0,0,0,0,0
"45","MSB:Fish:1160",1939,1,28,"MSB 1160-5","JAR8782F","EO","GC","07-01-2025",NA,51,40,1021,"impact","impact_1931-1940",35.100259,-106.692107,0,0,2,0,0,0,0,0,0,34,0,0,0,0,0,0,0
"46","MSB:Fish:19389",1994,5,27,"MSB 19389-1","JAR8874F","JG","JG","07-02-2025",FALSE,56,44,1941,"control","control_1991-2000",35.322164,-106.557448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","MSB:Fish:19389",1994,5,27,"MSB 19389-2","JAR8862F","EO","KL","07-02-2025",NA,52,40,1391,"control","control_1991-2000",35.322164,-106.557448,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"48","MSB:Fish:19389",1994,5,27,"MSB 19389-5","JAR8878F","BP","CW","07-02-2025",NA,44,35,909,"control","control_1991-2000",35.322164,-106.557448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","MSB:Fish:19389",1994,5,27,"MSB 19389-4","JAR8858F","EO","GC","07-02-2025",NA,48,38,1096,"control","control_1991-2000",35.322164,-106.557448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","MSB:Fish:19389",1994,5,27,"MSB 19389-3","JAR8876F","JG","KL","07-02-2025",FALSE,55,46,2190,"control","control_1991-2000",35.322164,-106.557448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"51","MSB:Fish:19537",1994,9,16,"MSB 19537-3","JAR8635F","EO","CLW","06-20-2025",NA,59,46,1370,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","MSB:Fish:19537",1994,9,16,"MSB 19537-2","JAR8664F","EO","CW","06-16-2025",NA,58,46,1650,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"53","MSB:Fish:19537",1994,9,16,"MSB 19537-1","JAR8632F","JG","KL","06-16-2025",NA,54,48,1824,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","MSB:Fish:19537",1994,9,16,"MSB 19537-4","JAR8638F","JG","CLW","06-16-2025",NA,53,44,1183,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","MSB:Fish:19537",1994,9,16,"MSB 19537-5","JAR8637F","EO","CW","06-16-2025",NA,47,38,760,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,2,0,NA,0,0,0,0,0
"56","MSB:Fish:19688",1994,10,10,"MSB 19688-2","JAR8863F","BP","JG CW","07-02-2025",NA,57,44,1805,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","MSB:Fish:19688",1994,10,10,"MSB 19688-4","JAR8867F","BP","CW","07-02-2025",NA,58,46,1810,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","MSB:Fish:19688",1994,10,10,"MSB 19688-5","JAR8869F","BP","KL","07-02-2025",NA,48,38,993,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"59","MSB:Fish:19688",1994,10,10,"MSB 19688-1","JAR8886F","BP","JG CW","07-02-2025",NA,65,51,2667,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","MSB:Fish:19688",1994,10,10,"MSB 19688-3","JAR8865F","BP","KL","07-02-2025",FALSE,56,45,2032,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","MSB:Fish:20390",1994,8,11,"MSB 20390-2","JAR8881F","JG","GC","07-02-2025",NA,40,36,923,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"62","MSB:Fish:20390",1994,8,11,"MSB 20390-3","JAR8880F","JG","EO","07-02-2025",NA,41,33,528,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","MSB:Fish:20390",1994,8,11,"MSB 20390-1","JAR8883F","JG","JG","07-02-2025",NA,53,41,1467,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","MSB:Fish:20390",1994,8,11,"MSB 20390-4","JAR8882F","JG","BP","07-02-2025",NA,49,38,968,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"65","MSB:Fish:20390",1994,8,11,"MSB 20390-5","JAR8884F","JG","CW","07-02-2025",NA,49,40,1145,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","MSB:Fish:20526",1994,7,27,"MSB 20526-5","JAR8666F","EO","CW","06-20-2025",NA,37,29,510,"impact","impact_1991-2000",34.905272,-106.685564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","MSB:Fish:20526",1994,7,27,"MSB 20526-4","JAR8669F","BP","CLW","06-20-2025",NA,34,26,375,"impact","impact_1991-2000",34.905272,-106.685564,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
"68","MSB:Fish:20526",1994,7,27,"MSB 20526-2","JAR8665F","BP","CW","06-20-2025",NA,37,29,507,"impact","impact_1991-2000",34.905272,-106.685564,0,0,0,NA,0,0,0,0,0,2,0,0,NA,0,0,NA,0
"69","MSB:Fish:20526",1994,7,27,"MSB 20526-3","JAR8667F","EO","CLW","06-20-2025",NA,38,30,599,"impact","impact_1991-2000",34.905272,-106.685564,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"70","MSB:Fish:20526",1994,7,27,"MSB 20526-1","JAR8647F","EO","KL","06-20-2025",NA,53,44,1498,"impact","impact_1991-2000",34.905272,-106.685564,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"71","MSB:Fish:25010",1995,8,2,"MSB 25010-2","JAR8650F","JG","KL","06-16-2025",NA,37,30,475,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"72","MSB:Fish:25010",1995,8,2,"MSB 25010-3","JAR8649F","EO","KL","06-16-2025",NA,39,31,531,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"73","MSB:Fish:25010",1995,8,2,"MSB 25010-4","JAR8652F","JG","JG CLW","06-16-2025",NA,35,28,503,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"74","MSB:Fish:25010",1995,8,2,"MSB 25010-1","JAR8629F","EO","CW","06-16-2025",NA,43,32,743,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"75","MSB:Fish:25010",1995,8,2,"MSB 25010-5","JAR8651F","EO","KL","06-16-2025",NA,38,30,494,"control","control_1991-2000",35.28302778,-106.5981389,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
"76","MSB:Fish:25023",1995,8,2,"MSB 25023-3","JAR8723F","EO","CW","06-25-2025",NA,38,29,422,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","MSB:Fish:25023",1995,8,2,"MSB 25023-5","JAR8719F","EO","KL","06-25-2025",NA,40,31,571,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"78","MSB:Fish:25023",1995,8,2,"MSB 25023-1","JAR8720F","EO","JG EO KL","06-25-2025",NA,39,30,586,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","MSB:Fish:25023",1995,8,2,"MSB 25023-2","JAR8725F","EO","KL","06-25-2025",NA,36,29,560,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
