"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","crus.d","crus.lersp","mono.gyrof","mono.salsp","mono.ss","trem.dips","trem.iz","trem.unk","nem.larv","nem.l","nem.myst","acanth.spk","cest.botsp","myxo.myxid","myxo.g"
"72","MSB:Fish:11095",1992,7,21,"MSB 11095-3","JAR11013F","KL","KL","07-23-2025","F",35,28,526,"impact","impact_1991-2000",35.027111,-106.672944,0,0,0,2,0,0,0,0,0,0,0,0,0,"1",0
"73","MSB:Fish:11095",1992,7,21,"MSB 11095-2","JAR11016F","KL","KL","07-23-2025","F",33,27,385,"impact","impact_1991-2000",35.027111,-106.672944,0,0,0,4,0,0,0,0,0,0,0,0,0,"1",0
"74","MSB:Fish:11095",1992,7,21,"MSB 11095-4","JAR11000F","KL","KL","07-23-2025","F",31,25,375,"impact","impact_1991-2000",35.027111,-106.672944,0,0,0,4,0,0,0,0,0,0,0,0,0,"na",0
"75","MSB:Fish:11095",1992,7,21,"MSB 11095-5","JAR11003F","KL","KL","07-23-2025",NA,32,26,460,"impact","impact_1991-2000",35.027111,-106.672944,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,0
"76","MSB:Fish:11126",1992,7,22,"MSB 11126-2","JAR11562F","JG","BP","07-17-2025","F",37,30,634,"impact","impact_1991-2000",34.97052778,-106.6911111,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"77","MSB:Fish:11126",1992,7,22,"MSB 11126-3","JAR11560F","JG","BP","07-17-2025","F",31,25,355,"impact","impact_1991-2000",34.97052778,-106.6911111,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"78","MSB:Fish:11126",1992,7,22,"MSB 11126-1","JAR11561F","EO","EO","07-17-2025","F",45,36,1113,"impact","impact_1991-2000",34.97052778,-106.6911111,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"79","MSB:Fish:11126",1992,7,22,"MSB 11126-4","JAR11559F","JG","GC","07-17-2025","F",40,34,733,"impact","impact_1991-2000",34.97052778,-106.6911111,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"80","MSB:Fish:11126",1992,7,22,"MSB 11126-5","JAR11558F","EO","KL","07-17-2025","M",26,21,179,"impact","impact_1991-2000",34.97052778,-106.6911111,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"81","MSB:Fish:11194",1992,7,24,"MSB 11194-2","JAR11570F","EO","KL","07-17-2025","M",26,22,151,"impact","impact_1991-2000",34.92872222,-106.6818611,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2
